gene	bp_HG002_v4.2.1	fraction_HG002_v4.2.1	bp_coordinates_plus_segdups_plus_flanking_hifiasm_dip.bed	fraction_coordinates_plus_segdups_plus_flanking_hifiasm_dip.bed	chrom	start	end	start_coordinates_plus_segdups_plus_flanking	end_coordinates_plus_segdups_plus_flanking	bp_MRG_benchmark_bed	fraction_MRG_benchmark_bed	bp_in_AllRepeats_gt_10kb	fraction_in_AllRepeats_gt_10kb	bp_in_reference_gaps_stratification	fraction_in_reference_gaps_stratification	bp_in_Tier1andTier2_SV_0.6_slop150_stratification	fraction_in_Tier1andTier2_SV_0.6_slop150_stratification	bp_in_illumina_ccs_ont_cnv_stratification	fraction_in_illumina_ccs_ont_cnv_stratification	bp_in_ccs_ont_elliptical_outlier_cnv_stratification	fraction_in_ccs_ont_elliptical_outlier_cnv_stratification	bp_in_assembly_cnv_stratification	fraction_in_assembly_cnv_stratification	bp_in_vdj_stratification	fraction_in_vdj_stratification	bp_in_inversions_stratification	fraction_in_inversions_stratification	bp_in_segmental_duplications_gt5_percent_identity_gte_990_stratification	fraction_in_segmental_duplications_gt5_percent_identity_gte_990_stratification	bp_in_segmental_duplications_stratification	fraction_in_segmental_duplications_stratification	bp_in_low_mappability_and_segmental_duplications_stratification	fraction_in_low_mappability_and_segmental_duplications_stratification	num_v0.6_SVs_in_gene	num_MRG_SV_v0.1_in_gene	num_MRG_small_variant_v0.2_variants_in_gene	num_v4.2.1_small_variants_in_gene	bp_exon_covered_v4.2.1	fraction_exon_covered_v4.2.1	bp_exon_covered_MRG_benchmark	fraction_exon_covered_MRG_benchmark	mandelker	cosmic	high_priority	num_v4.2.1_variants_in_exons	num_MRG_SV_v0.1_benchmark_variants_in_exons	num_MRG_small_variant_v0.2_variants_in_exons	num_MRG_small_variant_v0.03_variants_in_gene	bp_MRG_small_variant_v0.03	fraction_MRG_small_variant_v0.03	num_MRG_SV_v0.02_SVs_in_gene	bp_exon_covered_MRG_small_variant_v0.03_benchmark	fraction_exon_covered_MRG_small_variant_v0.03_benchmark	num_MRG_small_variant_v0.03_variants_in_exons	num_MRG_SV_v0.02_variants_in_exons	bp_in_HG002_GIABv4.1_CNVsandSVs_stratification	fraction_in_HG002_GIABv4.1_CNVsandSVs_stratification	bp_in_HG002_GIABv4.1_complexandSVs_alldifficultregions_stratification	fraction_in_HG002_GIABv4.1_complexandSVs_alldifficultregions_stratification	num_breaks_in_hifiasm_dip.bed_plus_segdups_plus_flanking
OR4F5	0	0	0	0	1	69091	70008	10000	177417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	917	1	917	1	0	0	0	0	0	0	0	0	yes	no	no	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGRN	30199	0.839024255	79302	1	1	955503	991496	935503	1014805	35949	0.99877754	0	0	0	0	3349	0.09304587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1277	0.035479121	0	0	101	59	6914	0.948812955	7275	0.998353232	yes	no	no	8	0	9	100	35905	0.99755508	0	7274	0.998216001	9	0	3349	0.09304587	3349	0.0930459	0
B3GALT6	2792	1	42792	1	1	1167629	1170421	1147629	1190421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2792	1	0	0	yes	no	no	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAS1R3	3992	1	43992	1	1	1266694	1270686	1246694	1290686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3427	1	0	0	yes	no	no	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GABRD	11332	0.992989835	51412	1	1	1950780	1962192	1930780	1982192	0	0	0	0	0	0	80	0.007010165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0.00297932	0	0	0	17	1824	0.957983193	0	0	yes	no	no	2	0	0	0	0	0	0	0	0	0	0	80	0.007010165	80	0.0070102	0
SKI	73665	0.904708685	120585	0.993090328	1	2160134	2241558	2140134	2261558	0	0	0	0	0	0	4772	0.058606799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2731	0.033540479	3	0	0	121	5244	0.935426329	0	0	yes	yes	yes	2	1	0	0	0	0	0	0	0	0	0	4772	0.058606799	4772	0.0586068	1
PEX10	8848	0.983111111	49000	1	1	2336236	2345236	2316236	2365236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	2073	1	0	0	yes	no	yes	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF14	9743	1	49743	1	1	2487078	2496821	2467078	2516821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	1699	1	0	0	no	yes	no	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MMEL1	39902	0.941018324	78847	0.697322921	1	2522078	2564481	2502078	2615149	0	0	0	0	0	0	1274	0.030045044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	303	0.007145721	1	0	0	98	2705	0.957522124	0	0	yes	no	no	6	0	0	0	0	0	0	0	0	0	0	1274	0.030045044	1274	0.030045	0
PRDM16	348482	0.943237705	409453	1	1	2985732	3355185	2965732	3375185	0	0	0	0	0	0	12584	0.034061166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6859	0.018565284	4	0	0	556	8687	1	0	0	no	yes	no	13	0	0	0	0	0	0	0	0	0	0	12584	0.034061166	12584	0.0340612	0
