gene	mandelker	cosmic	high_priority	bp_HG002_v4.2.1	fraction_HG002_v4.2.1	bp_hifiasm_dip.bed	fraction_hifiasm_dip.bed	chrom	start	end	start_coordinates_plus_segdups_plus_flanking	end_coordinates_plus_segdups_plus_flanking	bp_exon_covered_v4.2.1	fraction_exon_covered_v4.2.1	bp_MRG_benchmark_bed	fraction_MRG_benchmark_bed	bp_exon_covered_MRG_benchmark	fraction_exon_covered_MRG_benchmark	bp_in_AllRepeats_gt_10kb	fraction_in_AllRepeats_gt_10kb	bp_in_reference_gaps_stratification	fraction_in_reference_gaps_stratification	bp_in_Tier1andTier2_SV_0.6_slop150_stratification	fraction_in_Tier1andTier2_SV_0.6_slop150_stratification	bp_in_illumina_ccs_ont_cnv_stratification	fraction_in_illumina_ccs_ont_cnv_stratification	bp_in_ccs_ont_elliptical_outlier_cnv_stratification	fraction_in_ccs_ont_elliptical_outlier_cnv_stratification	bp_in_assembly_cnv_stratification	fraction_in_assembly_cnv_stratification	bp_in_vdj_stratification	fraction_in_vdj_stratification	bp_in_inversions_stratification	fraction_in_inversions_stratification	bp_in_segmental_duplications_gt5_percent_identity_gte_990_stratification	fraction_in_segmental_duplications_gt5_percent_identity_gte_990_stratification	bp_in_segmental_duplications_stratification	fraction_in_segmental_duplications_stratification	bp_in_low_mappability_and_segmental_duplications_stratification	fraction_in_low_mappability_and_segmental_duplications_stratification	num_MRG_SV_v0.1_in_gene	num_MRG_SV_v0.1_benchmark_variants_in_exons	num_MRG_small_variant_v0.2_variants_in_gene	num_v4.2.1_small_variants_in_gene	num_v4.2.1_variants_in_exons	num_MRG_small_variant_v0.2_variants_in_exons	bp_MRG_small_variant_v0.03	fraction_MRG_small_variant_v0.03	num_MRG_small_variant_v0.03_variants_in_gene	num_MRG_SV_v0.02_SVs_in_gene	bp_exon_covered_MRG_small_variant_v0.03_benchmark	fraction_exon_covered_MRG_small_variant_v0.03_benchmark	num_MRG_small_variant_v0.03_variants_in_exons	num_MRG_SV_v0.02_variants_in_exons	bp_in_HG002_GIABv4.1_CNVsandSVs_stratification	fraction_in_HG002_GIABv4.1_CNVsandSVs_stratification	bp_in_HG002_GIABv4.1_complexandSVs_alldifficultregions_stratification	fraction_in_HG002_GIABv4.1_complexandSVs_alldifficultregions_stratification	num_breaks_in_hifiasm_dip.bed_plus_segdups_plus_flanking
OR4F5	yes	no	no	0	0	0	0	chr1	65419	71585	10000	207666	0	0	0	0	0	0	0	0	0	0	1027	0.166558547	0	0	0	0	0	0	0	0	0	0	0	0	6166	1	6166	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1027	0.166558547	6166	1	0
AGRN	yes	no	no	30470	0.8464359	78912	1	chr1	1020120	1056118	1000120	1079032	6844	0.938820302	35881	0.996749819	7205	0.988340192	0	0	0	0	3349	0.093032946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1277	0.035474193	0	0	101	60	8	9	35837	0.995527529	100	0	7204	0.988203018	9	0	3349	0.093032946	26564	0.7379299	0
B3GALT6	yes	no	no	2804	1	42804	1	chr1	1232237	1235041	1212237	1255041	2804	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1706	0.6084166	0
TAS1R3	yes	no	no	4034	1	44034	1	chr1	1331280	1335314	1311280	1355314	3469	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0	0	0	0	0	0	3599	0.8921666	0
GABRD	yes	no	no	11337	0.9919503	51429	1	chr1	2019329	2030758	1999329	2050758	1829	0.960104987	0	0	0	0	0	0	0	0	92	0.008049698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0.002974888	0	0	0	17	2	0	0	0	0	0	0	0	0	0	92	0.008049698	5830	0.5101058	0
SKI	yes	yes	yes	74247	0.9066232	121055	0.993117	chr1	2228319	2310213	2208319	2330213	5714	0.94042133	0	0	0	0	0	0	0	0	4772	0.058270447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2701	0.032981659	0	0	0	124	2	0	0	0	0	0	0	0	0	0	4772	0.058270447	34148	0.416978	1
PEX10	yes	no	yes	9681	0.9845418	49833	1	chr1	2403964	2413797	2383964	2433797	2899	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	5	0	0	0	0	0	0	0	0	0	0	0	3738	0.3801485	0
TNFRSF14	no	yes	no	9743	1	49743	1	chr1	2555639	2565382	2535639	2585382	1699	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	2	0	0	0	0	0	0	0	0	0	0	0	7143	0.7331417	0
MMEL1	yes	no	no	39815	0.9395427	78320	0.5926957	chr1	2590639	2633016	2570639	2702781	2735	0.957968476	0	0	0	0	0	0	0	0	1274	0.030063478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	303	0.007150105	0	0	0	97	6	0	0	0	0	0	0	0	0	0	1274	0.030063478	18177	0.4289355	0
PRDM16	no	yes	no	348765	0.9440037	409453	1	chr1	3069168	3438621	3049168	3458621	8687	1	0	0	0	0	0	0	0	0	12584	0.034061166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6960	0.018838661	0	0	0	554	13	0	0	0	0	0	0	0	0	0	12584	0.034061166	134187	0.3632045	0
