Gene stable ID	Gene start (bp)	Gene end (bp)	Chromosome/scaffold name	Gene name
ENSG00000271782	50902700	50902978	1	RP5-850O15.4
ENSG00000232753	103817769	103828355	1	RP11-347K2.1
ENSG00000225767	50927141	50936822	1	RP5-850O15.3
ENSG00000202140	50965430	50965529	1	Y_RNA
ENSG00000207194	51048076	51048183	1	RNU6-1026P
ENSG00000252825	51215968	51216025	1	RNU6-1253P
ENSG00000236624	45959538	45965751	1	CCDC163P
ENSG00000230585	51246012	51246822	1	PHBP12
ENSG00000234037	103820969	103835986	1	RP11-347K2.2
ENSG00000230759	103957501	103968087	1	RP11-153F1.2
ENSG00000237130	51312140	51312509	1	MRPS6P2
ENSG00000265538	51525509	51525577	1	MIR4421
ENSG00000229978	13162645	13165443	1	RP13-221M14.3
ENSG00000200262	51572894	51573003	1	Y_RNA
ENSG00000213478	51623460	51624143	1	CFL1P2
ENSG00000224613	103960701	104068105	1	RP11-153F1.1
ENSG00000239101	51654135	51654223	1	AL162430.2
ENSG00000221492	51656555	51656630	1	AL162430.1
ENSG00000236179	13171871	13173157	1	RP13-221M14.4
ENSG00000203356	51660767	51700768	1	RP11-296A18.3
ENSG00000222069	104066184	104066501	1	RN7SKP285
ENSG00000238618	51696925	51697028	1	snoU13
ENSG00000236085	104112175	104113296	1	ACTG1P4
ENSG00000233406	51716270	51717144	1	RP11-296A18.5
ENSG00000179412	13182960	13184326	1	HNRNPCP5
ENSG00000159214	44457031	44462200	1	CCDC24
ENSG00000224199	13196270	13199067	1	WI2-2994D6.1
ENSG00000234441	104210693	104210890	1	RP5-1108M17.5
ENSG00000243452	148555979	148596267	1	NBPF15
ENSG00000236434	51730588	51731746	1	RP11-296A18.6
ENSG00000227408	104256345	104262493	1	AMYP1
ENSG00000261664	51795326	51800996	1	RP11-275F13.1
ENSG00000164008	43232940	43263968	1	C1orf50
ENSG00000233394	13351482	13354323	1	RP11-248D7.2
ENSG00000232027	51837942	51838896	1	RP11-275F13.3
ENSG00000238843	156499122	156499221	1	snoU13
ENSG00000265960	156557648	156557747	1	AL365181.1
ENSG00000225191	104469189	104470428	1	RP11-97C18.1
ENSG00000272971	156584534	156585080	1	RP11-284F21.11
ENSG00000206595	51847980	51848086	1	RNU6-877P
ENSG00000231219	13379149	13381237	1	RP11-219C24.8
ENSG00000238140	51927393	51929088	1	RP11-253A20.1
ENSG00000272068	156607575	156610796	1	RP11-284F21.9
ENSG00000227070	51983981	52027301	1	RP11-191G24.1
ENSG00000207511	13384735	13384841	1	RNU6-771P
ENSG00000252032	52004297	52004401	1	RNU6-1281P
ENSG00000272405	156611458	156614679	1	RP11-284F21.10
ENSG00000237700	13411551	13414482	1	RP11-219C24.6
ENSG00000143847	202995626	203047868	1	PPFIA4
ENSG00000243500	104615632	104616159	1	RP11-364B6.2
