chromosome	start_minus_20kb	end_plus_20kb	gene_name	bp_covered_v4.1	percent_covered_v4.1	bp_covered_r253	percent_covered_r253
chr1	45419	91585	OR4F5	0	0	0	0
chr1	1000120	1076118	AGRN	55120	0.725282244	75998	1
chr1	1212237	1255041	B3GALT6	38341	0.895734044	42804	1
chr1	1311280	1355314	TAS1R3	31775	0.72160149	44034	1
chr1	1999329	2050758	GABRD	50337	0.978766844	51429	1
chr1	2208319	2330213	SKI	109358	0.897156546	121055	0.99311697
chr1	2383964	2433797	PEX10	48121	0.965645255	49833	1
chr1	2535639	2585382	TNFRSF14	49019	0.985445188	49743	1
chr1	2570639	2653016	MMEL1	62308	0.756376173	61397	0.745317261
chr1	3049168	3458621	PRDM16	388368	0.948504468	409453	1
chr1	3632516	3756201	TP73	110647	0.894587056	123685	1
chr1	5842811	6012473	NPHP4	161542	0.952140137	169662	1
chr1	5970927	6121193	KCNAB2	138574	0.922191314	150266	1
chr1	6165020	6229389	RPL22	60885	0.945874567	64369	1
chr1	6404776	6481367	ESPN	54850	0.716141583	76591	1
chr1	6446092	6540061	PLEKHG5	84322	0.897338484	93969	1
chr1	6535307	6599755	TAS1R1	61436	0.953264647	64448	1
chr1	6765454	7789706	CAMTA1	979260	0.95607331	1023892	0.999648524
chr1	7895894	7963165	TNFRSF9	62879	0.934711837	67271	1
chr1	7934291	8005505	PARK7	66023	0.92710703	71214	1
chr1	7984404	8046309	ERRFI1	58626	0.947031742	61905	1
chr1	9214775	9291337	H6PD	71850	0.938455108	76562	1
chr1	9631731	9749114	PIK3CD	113339	0.965548674	117383	1
chr1	9923428	10005501	NMNAT1	76407	0.930963898	82073	1
chr1	10190805	10401603	KIF1B	204205	0.968723612	210798	1
chr1	10452288	10650758	PEX14	192056	0.967682773	198470	1
chr1	10992344	11046420	TARDBP	47259	0.873936682	54076	1
chr1	11006523	11067239	MASP2	53414	0.87973516	60716	1
chr1	11086535	11282551	MTOR	189254	0.965502816	196016	1
chr1	11253206	11316049	UBIAD1	60456	0.962016454	62843	1
chr1	11765723	11826920	MTHFR	59146	0.966485285	61197	1
chr1	11825709	11868345	NPPA	40613	0.952551834	42636	1
chr1	11914205	11995538	PLOD1	77088	0.947807163	81333	1
chr1	11960181	12033514	MFN2	70148	0.956567984	73333	1
chr1	12146991	12229228	TNFRSF1B	79235	0.96349575	82237	1
chr1	13680198	13845079	PRDM2	161705	0.980737623	164881	1
chr1	15418442	15469242	CTRC	48168	0.948188976	15603	0.307145669
chr1	15470832	15546534	CASP9	71701	0.947148028	34767	0.459261314
chr1	15639869	15681722	RSC1A1	39789	0.950684539	41853	1
chr1	15827707	15960456	SPEN	129188	0.973174939	132749	1
chr1	15994028	16039594	HSPB7	44140	0.968704736	45566	1
chr1	15998875	16054050	CLCNKA	52977	0.960163117	55175	1
chr1	16023736	16077308	CLCNKB	50912	0.950347196	53572	1
chr1	16104337	16176069	EPHA2	69831	0.973498578	71732	1
chr1	16367117	16457424	SPATA21	86542	0.95830888	87325	0.966979304
chr1	16965958	17031928	ATP13A2	63847	0.967818705	57566	0.872608762
chr1	16998722	17074170	SDHB	73093	0.968786449	75448	1
chr1	17288195	17384004	PADI4	83338	0.869834775	95767	0.999561628
chr1	17519698	17717874	ARHGEF10L	194178	0.979826013	198176	1
chr1	18610846	18768866	PAX7	153276	0.969978484	158020	1
chr1	18851430	18922724	ALDH4A1	70759	0.992495862	71294	1
chr1	19283965	19332146	AKR7A2	47011	0.975716569	48181	1
chr1	19955431	20000416	PLA2G2A	44417	0.987373569	44985	1
chr1	20008179	20111911	PLA2G5	102706	0.990109127	103732	1
chr1	20569086	20638903	CDA	64976	0.930661587	69817	1
chr1	20613458	20671511	PINK1	54260	0.934663153	58053	1
chr1	20631767	20681544	DDOST	47418	0.952608635	49777	1
chr1	21197247	21365572	ECE1	161140	0.957314719	168325	1
chr1	21489397	21598410	ALPL	105288	0.965829763	109013	1
chr1	21802244	21957310	HSPG2	149616	0.964853675	155066	1
chr1	22005511	22121360	CDC42	94854	0.818772713	115849	1
chr1	22097313	22163969	WNT4	65355	0.980481877	66656	1
chr1	22408838	22551157	ZBTB40	139567	0.980663158	142319	1
chr1	22616628	22659678	C1QA	41035	0.953193961	43050	1
chr1	22623633	22668110	C1QC	42565	0.957011489	44477	1
chr1	22632762	22681637	C1QB	47113	0.963948849	48875	1
chr1	22690839	22941500	EPHB2	247133	0.985925214	250661	1
chr1	23537926	23579501	ID3	40535	0.974984967	41575	1
chr1	23561495	23660568	MDS2	91752	0.926104993	99073	1
chr1	23671742	23716835	RPL11	42677	0.946421839	45093	1
chr1	23775599	23820781	GALE	43325	0.958899562	45182	1
chr1	23781885	23858620	HMGCL	63062	0.821815339	76735	1
chr1	23825077	23888294	FUCA1	49411	0.781609377	63217	1
chr1	23850515	23933362	CNR2	77733	0.938271754	82847	1
chr1	24879511	24985121	RUNX3	104080	0.985512736	105610	1
chr1	25252393	25350445	RHD	82508	0.841471872	98052	1
chr1	25342249	25450192	RHCE	69766	0.646322596	107943	1
chr1	25523580	25588886	LDLRAP1	63270	0.968823692	65306	1
chr1	25864181	25926991	STMN1	61635	0.981292788	62810	1
chr1	25999884	26056464	EXTL1	55154	0.974796748	56580	1
chr1	26017252	26066118	SLC30A2	48167	0.985695576	48866	1
chr1	26412282	26491306	DHDDS	74943	0.948357461	79024	1
chr1	26673236	26802104	ARID1A	122680	0.951981873	128868	1
chr1	26767472	26818398	PIGV	46078	0.904803048	50926	1
chr1	26880238	26966871	NUDC	84662	0.977248854	86633	1
chr1	26891489	26933975	NR0B2	41410	0.97467401	42486	1
chr1	27349112	27394824	FCN3	44941	0.983133532	45712	1
chr1	28127166	28213936	PTAFR	83715	0.964791979	86770	1
chr1	28239518	28302491	SESN2	58135	0.923173424	62973	1
chr1	28867091	29140046	EPB41	261248	0.957110146	272955	1
chr1	32180386	32225387	CCDC28B	42530	0.945090109	45001	1
chr1	32231239	32306165	LCK	67813	0.905066332	74926	1
chr1	32755237	32838153	YARS	79483	0.958596652	82916	1
chr1	32987940	33100996	AK2	108004	0.955314181	113056	1
chr1	33061104	33143492	AZIN2	81669	0.991273001	82388	1
chr1	34739740	34782327	GJB4	41365	0.971305798	42587	1
chr1	34761214	34806369	GJB3	43535	0.964123574	45155	1
chr1	34845436	34949650	DLGAP3	101320	0.972230219	104214	1
chr1	35156378	35213145	SFPQ	47441	0.835714412	56767	1
chr1	35849808	35950532	AGO1	98294	0.975874667	100724	1
chr1	36064094	36108275	TEKT2	42849	0.969851294	44181	1
chr1	36075239	36145222	COL8A2	66087	0.944329337	69983	1
chr1	36204432	36325357	THRAP3	110975	0.917717594	120925	1
chr1	36446043	36503278	CSF3R	56250	0.982790251	57235	1
chr1	37514449	37574293	SNIP1	56121	0.937788249	59844	1
chr1	37591350	37654892	RSPO1	62144	0.977998804	63542	1
chr1	37840697	37967057	INPP5B	114683	0.907589427	126360	1
chr1	39006318	39054636	NDUFS5	44982	0.930957407	48318	1
chr1	39875426	39922256	MYCL	44745	0.955477258	46830	1
chr1	40051461	40117727	PPT1	64583	0.97460236	66266	1
chr1	40238236	40314180	ZMPSTE24	72778	0.958311387	75944	1
chr1	40280489	40337813	COL9A2	55378	0.966052613	57324	1
chr1	40457290	40516343	ZFP69	57312	0.970518009	59053	1
chr1	40600680	40685682	RIMS3	82849	0.974671184	85002	1
chr1	40763787	40860452	KCNQ4	95613	0.989117054	96665	1
chr1	42713093	42760254	CLDN19	44890	0.951845805	47161	1
chr1	42797122	42864991	ERMAP	65246	0.961352016	67869	1
chr1	42905375	42978868	SLC2A1	71553	0.973602928	73493	1
chr1	43152149	43274358	CFAP57	119473	0.977612123	122209	1
chr1	43317849	43372772	MPL	53897	0.981319302	54923	1
chr1	43685824	43951165	ST3GAL3	251442	0.947618348	265341	1
chr1	43958943	44011170	B4GALT2	51031	0.977099967	52227	1
chr1	43971500	44051467	SLC6A9	78656	0.983605737	79967	1
chr1	44799844	44863253	PTCH2	61854	0.975476667	63409	1
chr1	44830522	45006722	EIF2B3	169353	0.961140749	176200	1
chr1	44990950	45035575	UROD	44174	0.989893557	44625	1
chr1	45309163	45360893	MUTYH	50271	0.971795863	51730	1
chr1	45480300	45533382	MMACHC	49325	0.929222712	53082	1
chr1	46168682	46240305	POMGNT1	69213	0.966351591	71623	1
chr1	46226461	46298480	RAD54L	69896	0.970521668	72019	1
chr1	46374317	46433848	FAAH	58071	0.975474963	59531	1
chr1	47117435	47169735	CYP4A22	51010	0.975334608	52300	1
chr1	47196290	47252220	TAL1	54743	0.978777043	55930	1
chr1	47230139	47334147	STIL	98497	0.947013691	104008	1
chr1	47313797	47398839	CMPK1	80807	0.950201077	85042	1
chr1	47396285	47438052	FOXE3	41418	0.991644121	41767	1
chr1	48512854	50043954	AGBL4	1518734	0.991923454	1531100	1
chr1	50940745	50994634	CDKN2C	53253	0.988197962	53889	1
chr1	51216273	51293447	RNF11	74780	0.96897919	77174	1
chr1	51334263	51539266	EPS15	201752	0.984141695	205003	1
chr1	52352829	52424423	ORC1	69431	0.969787971	71594	1
chr1	52907276	53071698	SCP2	161024	0.979333666	164422	1
chr1	53176792	53234197	CPT2	55660	0.969601951	57405	1
chr1	53222364	53348469	LRP8	123005	0.975417311	126105	1
chr1	54829627	54907195	DHCR24	76007	0.979875722	77568	1
chr1	54978933	55037172	BSND	57178	0.981781967	58239	1
chr1	55019548	55084852	PCSK9	64753	0.991562538	65304	1
chr1	56834806	56938221	C8A	102960	0.995600251	103415	1
chr1	56909207	56986140	C8B	76273	0.991421107	76933	1
chr1	58555433	58597252	TACSTD2	40444	0.967120209	41819	1
