gene	mandelker	cosmic	high_priority	bp_HG002_v4.2.1	fraction_HG002_v4.2.1	bp_dip.bed	fraction_dip.bed	chrom	start	end	start_coordinates_plus_segdups_plus_flanking	end_coordinates_plus_segdups_plus_flanking	bp_exon_covered_v4.2.1	fraction_exon_covered_v4.2.1	bp_MRG_benchmark_bed	fraction_MRG_benchmark_bed	bp_exon_covered_MRG_benchmark	fraction_exon_covered_MRG_benchmark	bp_overlap_w_AllRepeats_gt_10kb	fraction_gene_overlap_w_AllRepeats_gt_10kb	bp_overlap_w_refn	fraction_gene_overlap_w_refn	bp_overlap_w_GIAB_expanded_by_150_Tier1andTier2_SV_0.6	fraction_overlap_w_GIAB_expanded_by_150_Tier1andTier2_SV_0.6	bp_overlap_w_intersect_Illumina_CCS_ONT_CNV_v4.2.1	fraction_overlap_w_intersect_Illumina_CCS_ONT_CNV_v4.2.1	bp_overlap_w_union_CCS_and_ONT_outlier_CNV_v4.2.1	fraction_overlap_w_union_CCS_and_ONT_outlier_CNV_v4.2.1	bp_overlap_w_Assembly_CNV	fraction_overlap_w_Assembly_CNV	bp_overlap_w_vdj	fraction_overlap_w_vdj	bp_overlap_inversions	fraction_overlap_inversions	bp_overlap_w_segdups_w_count_gt_5_and_percent_identity_gte_990	fraction_overlap_w_segdups_w_count_gt_5_and_percent_identity_gte_990	bp_segdups	fraction_segdups	bp_lowmapandsegdups	fraction_lowmapandsegdups	num_MRG_SVs_gt_49bp_in_SV_benchmark_bed_in_gene	num_MRG_SVs_gt_49bp_in_SV_benchmark_bed_in_gene_in_exons	num_MRG_variants_in_benchmark_in_gene	num_MRG_variants_in_benchmark_in_gene_in_exons	num_v4.2.1_variants_in_benchmark_in_gene	num_v4.2.1_variants_in_benchmark_in_gene_in_exons
OR4F5	yes	no	no	0	0	0	0	chr1	65419	71585	10000	207666	0	0	0	0	0	0	0	0	0	0	1027	0.166558547	0	0	0	0	0	0	0	0	0	0	0	0	6166	1	6166	1	0	0	0	0	0	0
AGRN	yes	no	no	30470	0.846435913	78912	1	chr1	1020120	1056118	1000120	1079032	6844	0.938820302	35881	0.996749819	7205	0.988340192	0	0	0	0	3349	0.093032946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1277	0.035474193	0	0	101	9	60	8
B3GALT6	yes	no	no	2804	1	42804	1	chr1	1232237	1235041	1212237	1255041	2804	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAS1R3	yes	no	no	4034	1	44034	1	chr1	1331280	1335314	1311280	1355314	3469	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3
GABRD	yes	no	no	11337	0.991950302	51429	1	chr1	2019329	2030758	1999329	2050758	1829	0.960104987	0	0	0	0	0	0	0	0	92	0.008049698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0.002974888	0	0	0	0	17	2
SKI	yes	yes	yes	74247	0.906623196	121055	0.99311697	chr1	2228319	2310213	2208319	2330213	5714	0.94042133	0	0	0	0	0	0	0	0	4772	0.058270447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2701	0.032981659	0	0	0	0	124	2
PEX10	yes	no	yes	9681	0.984541849	49833	1	chr1	2403964	2413797	2383964	2433797	2899	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	5
TNFRSF14	no	yes	no	9743	1	49743	1	chr1	2555639	2565382	2535639	2585382	1699	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	2
MMEL1	yes	no	no	39816	0.939566274	78320	0.592695736	chr1	2590639	2633016	2570639	2702781	2735	0.957968476	0	0	0	0	0	0	0	0	1274	0.030063478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	303	0.007150105	0	0	0	0	97	6
PRDM16	no	yes	no	348766	0.944006409	409453	1	chr1	3069168	3438621	3049168	3458621	8687	1	0	0	0	0	0	0	0	0	12584	0.034061166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6960	0.018838661	0	0	0	0	554	13
