gene	ref	chrom	start	end	mandelker	cosmic	high_priority	ClinGen	CPIC	Counsyl	ACMG	HTD	NCCN_ESMO	ACOG
OR4F5	GRCh37	1	69091	70008	yes	no	no	0	0	0	0	0	0	0
AGRN	GRCh37	1	955503	991496	yes	no	no	0	0	0	0	0	0	0
B3GALT6	GRCh37	1	1167629	1170421	yes	no	no	0	0	0	0	0	0	0
TAS1R3	GRCh37	1	1266694	1270686	yes	no	no	0	0	0	0	0	0	0
GABRD	GRCh37	1	1950780	1962192	yes	no	no	0	0	0	0	0	0	0
SKI	GRCh37	1	2160134	2241558	yes	yes	yes	1	0	0	0	0	0	0
PEX10	GRCh37	1	2336236	2345236	yes	no	yes	1	0	1	0	0	0	0
TNFRSF14	GRCh37	1	2487078	2496821	no	yes	no	0	0	0	0	0	0	0
MMEL1	GRCh37	1	2522078	2564481	yes	no	no	0	0	0	0	0	0	0
PRDM16	GRCh37	1	2985732	3355185	no	yes	no	0	0	0	0	0	0	0
TP73	GRCh37	1	3569084	3652765	yes	no	no	0	0	0	0	0	0	0
NPHP4	GRCh37	1	5922871	6052533	yes	no	no	0	0	0	0	0	0	0
KCNAB2	GRCh37	1	6051526	6161253	yes	no	no	0	0	0	0	0	0	0
RPL22	GRCh37	1	6241329	6269449	no	yes	no	0	0	0	0	0	0	0
ESPN	GRCh37	1	6484848	6521430	yes	no	yes	1	0	0	0	0	0	0
PLEKHG5	GRCh37	1	6526152	6580121	yes	no	no	0	0	0	0	0	0	0
TAS1R1	GRCh37	1	6615241	6639817	yes	no	no	0	0	0	0	0	0	0
CAMTA1	GRCh37	1	6845384	7829766	yes	yes	no	0	0	0	0	0	0	0
TNFRSF9	GRCh37	1	7979907	8000926	yes	no	no	0	0	0	0	0	0	0
PARK7	GRCh37	1	8014351	8045565	yes	no	no	0	0	0	0	0	0	0
ERRFI1	GRCh37	1	8064464	8086368	yes	no	no	0	0	0	0	0	0	0
H6PD	GRCh37	1	9294834	9331396	yes	no	no	0	0	0	0	0	0	0
PIK3CD	GRCh37	1	9711790	9789172	yes	no	no	0	0	0	0	0	0	0
NMNAT1	GRCh37	1	10003486	10045559	yes	no	no	0	0	0	0	0	0	0
KIF1B	GRCh37	1	10270863	10441661	yes	no	no	0	0	0	0	0	0	0
PEX14	GRCh37	1	10532345	10690815	yes	no	yes	1	0	0	0	0	0	0
TARDBP	GRCh37	1	11072414	11085796	yes	no	no	0	0	0	0	0	0	0
MASP2	GRCh37	1	11086580	11107290	yes	no	no	0	0	0	0	0	0	0
MTOR	GRCh37	1	11166592	11322564	no	yes	no	0	0	0	0	0	0	0
UBIAD1	GRCh37	1	11333263	11356106	yes	no	no	0	0	0	0	0	0	0
MTHFR	GRCh37	1	11845780	11866977	yes	no	yes	1	7	1	0	0	0	0
NPPA	GRCh37	1	11905766	11908402	yes	no	no	0	0	0	0	0	0	0
PLOD1	GRCh37	1	11994262	12035595	yes	no	no	0	0	0	0	0	0	0
MFN2	GRCh37	1	12040238	12073571	yes	no	no	0	0	0	0	0	0	0
TNFRSF1B	GRCh37	1	12227060	12269285	yes	no	no	0	0	0	0	0	0	0
PRDM2	GRCh37	1	14026693	14151574	no	yes	no	0	0	0	0	0	0	0
CTRC	GRCh37	1	15764935	15775737	yes	no	yes	0	0	0	0	0	1	0
CASP9	GRCh37	1	15817327	15853029	no	yes	no	0	0	0	0	0	0	0
RSC1A1	GRCh37	1	15986364	15988217	yes	no	no	0	0	0	0	0	0	0
SPEN	GRCh37	1	16174359	16266955	no	yes	no	0	0	0	0	0	0	0
HSPB7	GRCh37	1	16340523	16346089	yes	no	no	0	0	0	0	0	0	0
CLCNKA	GRCh37	1	16345370	16360545	yes	no	no	0	0	0	0	0	0	0
CLCNKB	GRCh37	1	16370272	16383803	yes	no	no	0	0	0	0	0	0	0
EPHA2	GRCh37	1	16450832	16482582	yes	no	no	0	0	0	0	0	0	0
SPATA21	GRCh37	1	16713612	16763919	yes	no	no	0	0	0	0	0	0	0
ATP13A2	GRCh37	1	17312453	17338423	yes	no	no	0	0	0	0	0	0	0
SDHB	GRCh37	1	17345217	17380665	yes	yes	yes	0	0	0	1	0	1	0
PADI4	GRCh37	1	17634690	17690499	yes	no	no	0	0	0	0	0	0	0
ARHGEF10L	GRCh37	1	17866330	18024369	no	yes	no	0	0	0	0	0	0	0
PAX7	GRCh37	1	18957500	19075360	yes	yes	no	0	0	0	0	0	0	0
ALDH4A1	GRCh37	1	19197926	19229275	yes	no	yes	1	0	0	0	0	0	0
AKR7A2	GRCh37	1	19630459	19638640	yes	no	no	0	0	0	0	0	0	0
PLA2G2A	GRCh37	1	20301925	20306932	yes	no	no	0	0	0	0	0	0	0
PLA2G5	GRCh37	1	20354672	20417683	yes	no	no	0	0	0	0	0	0	0
CDA	GRCh37	1	20915441	20945401	yes	no	no	0	0	0	0	0	0	0
PINK1	GRCh37	1	20959948	20978004	yes	no	no	0	0	0	0	0	0	0
DDOST	GRCh37	1	20978270	20988000	yes	no	no	0	0	0	0	0	0	0
ECE1	GRCh37	1	21543740	21671997	yes	no	no	0	0	0	0	0	0	0
ALPL	GRCh37	1	21835858	21904905	yes	no	yes	0	0	1	0	0	0	0
HSPG2	GRCh37	1	22148738	22263790	yes	no	no	0	0	0	0	0	0	0
CDC42	GRCh37	1	22379120	22419437	yes	no	no	0	0	0	0	0	0	0
WNT4	GRCh37	1	22443798	22470462	yes	no	no	0	0	0	0	0	0	0
ZBTB40	GRCh37	1	22778344	22857650	yes	no	no	0	0	0	0	0	0	0
C1QA	GRCh37	1	22962999	22966101	yes	no	no	0	0	0	0	0	0	0
C1QC	GRCh37	1	22970123	22974603	yes	no	no	0	0	0	0	0	0	0
C1QB	GRCh37	1	22979255	22988031	yes	no	yes	1	0	0	0	0	0	0
EPHB2	GRCh37	1	23037332	23241818	yes	no	no	0	0	0	0	0	0	0
ID3	GRCh37	1	23884409	23886285	yes	yes	no	0	0	0	0	0	0	0
MDS2	GRCh37	1	23907985	23967058	no	yes	no	0	0	0	0	0	0	0
RPL11	GRCh37	1	24018269	24022915	yes	no	no	0	0	0	0	0	0	0
GALE	GRCh37	1	24122089	24127271	yes	no	no	0	0	0	0	0	0	0
HMGCL	GRCh37	1	24128375	24165110	yes	no	yes	1	0	1	0	0	0	0
FUCA1	GRCh37	1	24171567	24194784	yes	no	no	0	0	0	0	0	0	0
CNR2	GRCh37	1	24197016	24285549	yes	no	no	0	0	0	0	0	0	0
RUNX3	GRCh37	1	25226002	25291612	yes	no	no	0	0	0	0	0	0	0
RHD	GRCh37	1	25598884	25656936	yes	no	no	0	0	0	0	0	0	0
RHCE	GRCh37	1	25688740	25756683	yes	no	yes	0	0	0	0	1	0	0
LDLRAP1	GRCh37	1	25870071	25895377	yes	no	no	0	0	0	0	0	0	0
SEPN1	GRCh37	1	26126667	26144713	yes	no	no	0	0	0	0	0	0	0
STMN1	GRCh37	1	26210672	26233482	yes	no	no	0	0	0	0	0	0	0
EXTL1	GRCh37	1	26346375	26362955	yes	no	no	0	0	0	0	0	0	0
SLC30A2	GRCh37	1	26363743	26372624	yes	no	no	0	0	0	0	0	0	0
DHDDS	GRCh37	1	26758773	26797785	yes	no	yes	0	0	1	0	0	0	0
ARID1A	GRCh37	1	27022524	27108595	yes	yes	no	0	0	0	0	0	0	0
PIGV	GRCh37	1	27113963	27124889	yes	no	no	0	0	0	0	0	0	0
NUDC	GRCh37	1	27226729	27273353	yes	no	no	0	0	0	0	0	0	0
NR0B2	GRCh37	1	27237980	27240457	yes	no	no	0	0	0	0	0	0	0
FCN3	GRCh37	1	27695603	27701315	yes	no	no	0	0	0	0	0	0	0
PTAFR	GRCh37	1	28473677	28520447	yes	no	no	0	0	0	0	0	0	0
SESN2	GRCh37	1	28586038	28609002	yes	no	no	0	0	0	0	0	0	0
EPB41	GRCh37	1	29213603	29446553	yes	no	no	0	0	0	0	0	0	0
