gene	ref	coords	benchmark	bench_type	region	cov
AGL	GRCh37	1:100315640-100389579	mrg	smallvar	exon	1
AGRN	GRCh37	1:955503-991496	mrg	smallvar	exon	0.9982160010978455
CD247	GRCh37	1:167399877-167487847	mrg	smallvar	exon	0.9814713896457765
CNR2	GRCh37	1:24197016-24285549	mrg	smallvar	exon	0.9869799037645061
ESPN	GRCh37	1:6484848-6521430	mrg	smallvar	exon	1
EXTL2	GRCh37	1:101337943-101361554	mrg	smallvar	exon	1
FCGR2B	GRCh37	1:161551101-161648444	mrg	smallvar	exon	1
FCGR3A	GRCh37	1:161511549-161600917	mrg	smallvar	exon	1
FLAD1	GRCh37	1:154955814-154965587	mrg	smallvar	exon	1
FLG	GRCh37	1:152274651-152297679	mrg	smallvar	exon	0.14171374764595104
HCN3	GRCh37	1:155247374-155259639	mrg	smallvar	exon	1
HMGCL	GRCh37	1:24128375-24165110	mrg	smallvar	exon	1
KISS1	GRCh37	1:204159469-204165614	mrg	smallvar	exon	0.9518413597733711
LBR	GRCh37	1:225589204-225616627	mrg	smallvar	exon	1
LRIG2	GRCh37	1:113615831-113674882	mrg	smallvar	exon	0.9973129929791107
MASP2	GRCh37	1:11086580-11107290	mrg	smallvar	exon	1
MUC1	GRCh37	1:155158300-155162707	mrg	smallvar	exon	0.8815279021187705
NPPA	GRCh37	1:11905766-11908402	mrg	smallvar	exon	1
PIGV	GRCh37	1:27113963-27124889	mrg	smallvar	exon	1
PRG4	GRCh37	1:186265405-186283694	mrg	smallvar	exon	1
PTPRC	GRCh37	1:198607801-198726545	mrg	smallvar	exon	1
RHCE	GRCh37	1:25688740-25756683	mrg	smallvar	exon	1
RPL22	GRCh37	1:6241329-6269449	mrg	smallvar	exon	1
VANGL1	GRCh37	1:116184574-116240845	mrg	smallvar	exon	1
BTRC	GRCh37	10:103113820-103317078	mrg	smallvar	exon	1
DCLRE1C	GRCh37	10:14939358-14996431	mrg	smallvar	exon	0.9824620573355818
ECHS1	GRCh37	10:135175984-135187193	mrg	smallvar	exon	0.9919204474829086
LIPN	GRCh37	10:90521163-90537999	mrg	smallvar	exon	1
MRC1	GRCh37	10:18098352-18200091	mrg	smallvar	exon	1
PAPSS2	GRCh37	10:89419370-89507462	mrg	smallvar	exon	0.9995090819833088
PDSS1	GRCh37	10:26986588-27035727	mrg	smallvar	exon	1
PTEN	GRCh37	10:89622870-89731687	mrg	smallvar	exon	0.9920159680638723
SPRN	GRCh37	10:135234170-135382916	mrg	smallvar	exon	0.954574332909784
B3GAT3	GRCh37	11:62382768-62389647	mrg	smallvar	exon	1
DEAF1	GRCh37	11:644233-706715	mrg	smallvar	exon	1
DRD4	GRCh37	11:637293-640706	mrg	smallvar	exon	0.7695113056163384
ESRRA	GRCh37	11:64073044-64084215	mrg	smallvar	exon	1
FGF3	GRCh37	11:69624992-69633792	mrg	smallvar	exon	1
HBG1	GRCh37	11:5269313-5271122	mrg	smallvar	exon	1
IFITM3	GRCh37	11:319669-327537	mrg	smallvar	exon	1
MDK	GRCh37	11:46402306-46405375	mrg	smallvar	exon	1
MUC5B	GRCh37	11:1244296-1283406	mrg	smallvar	exon	0.99518530959579
SLC22A12	GRCh37	11:64358113-64369820	mrg	smallvar	exon	0.9995893223819302
SPI1	GRCh37	11:47376411-47400127	mrg	smallvar	exon	1
TPCN2	GRCh37	11:68816365-68858072	mrg	smallvar	exon	1
APOBEC1	GRCh37	12:7801996-7818499	mrg	smallvar	exon	1
CD4	GRCh37	12:6896024-6929974	mrg	smallvar	exon	1
COX14	GRCh37	12:50505762-50514240	mrg	smallvar	exon	1
DPY19L2	GRCh37	12:63952693-64062719	mrg	smallvar	exon	1
GDF3	GRCh37	12:7842378-7848372	mrg	smallvar	exon	1
GOLGA3	GRCh37	12:133345495-133405444	mrg	smallvar	exon	0.9830543787763039
HNF1A	GRCh37	12:121416346-121440315	mrg	smallvar	exon	1
HPD	GRCh37	12:122277433-122301502	mrg	smallvar	exon	1
KDM2B	GRCh37	12:121866900-122018920	mrg	smallvar	exon	1
NACA	GRCh37	12:57106212-57125412	mrg	smallvar	exon	0.9941348973607038
P2RX2	GRCh37	12:133195366-133198972	mrg	smallvar	exon	0.9887145609688962
PEX5	GRCh37	12:7341281-7371170	mrg	smallvar	exon	1
PGAM5	GRCh37	12:133287405-133299228	mrg	smallvar	exon	0.989171974522293
F7	GRCh37	13:113760105-113774995	mrg	smallvar	exon	0.9865480132450332
PROZ	GRCh37	13:113812968-113826694	mrg	smallvar	exon	0.9708171206225681
JAG2	GRCh37	14:105607318-105635161	mrg	smallvar	exon	0.9992497186444916
NDUFB1	GRCh37	14:92582466-92588261	mrg	smallvar	exon	1
NDUFAF1	GRCh37	15:41679551-41694717	mrg	smallvar	exon	1
PPIP5K1	GRCh37	15:43825660-43882430	mrg	smallvar	exon	1
USP8	GRCh37	15:50716577-50793280	mrg	smallvar	exon	1
ANKRD11	GRCh37	16:89334038-89556969	mrg	smallvar	exon	0.9973491676386386
AXIN1	GRCh37	16:337440-402673	mrg	smallvar	exon	0.9975658331489268
CDH15	GRCh37	16:89238175-89261900	mrg	smallvar	exon	1
CLCN7	GRCh37	16:1494935-1525581	mrg	smallvar	exon	0.9653686087990487
GCSH	GRCh37	16:81115566-81130008	mrg	smallvar	exon	0.9489334195216548
GNPTG	GRCh37	16:1401924-1413352	mrg	smallvar	exon	1
HBM	GRCh37	16:203891-216767	mrg	smallvar	exon	1
HSD11B2	GRCh37	16:67464555-67471456	mrg	smallvar	exon	0.9968337730870712
HYDIN	GRCh37	16:70841281-71264625	mrg	smallvar	exon	1
LMF1	GRCh37	16:903634-1031318	mrg	smallvar	exon	0.8816091954022989
MC1R	GRCh37	16:89978527-89987385	mrg	smallvar	exon	1
MPG	GRCh37	16:127006-135852	mrg	smallvar	exon	1
ORC6	GRCh37	16:46723555-46732306	mrg	smallvar	exon	1
PDPK1	GRCh37	16:2587965-2653189	mrg	smallvar	exon	0.9906350338922583
PHKG2	GRCh37	16:30759591-30772490	mrg	smallvar	exon	1
PKD1	GRCh37	16:2138711-2185899	mrg	smallvar	exon	0.9999292836433067
SH2B1	GRCh37	16:28857921-28885526	mrg	smallvar	exon	0.9454605553107096
SMG1	GRCh37	16:18816175-18937776	mrg	smallvar	exon	1
SSTR5	GRCh37	16:1122756-1131454	mrg	smallvar	exon	1
UNKL	GRCh37	16:1413206-1464752	mrg	smallvar	exon	0.9903154399557277
VKORC1	GRCh37	16:31102163-31107301	mrg	smallvar	exon	1
ZNF469	GRCh37	16:88493879-88507165	mrg	smallvar	exon	1
ABR	GRCh37	17:906758-1132315	mrg	smallvar	exon	0.9917787020021278
ALOXE3	GRCh37	17:7999218-8022365	mrg	smallvar	exon	1
ATPAF2	GRCh37	17:17880723-17942523	mrg	smallvar	exon	1
CANT1	GRCh37	17:76987799-77005949	mrg	smallvar	exon	1
ENO3	GRCh37	17:4851387-4860426	mrg	smallvar	exon	1
FOXN1	GRCh37	17:26833261-26865914	mrg	smallvar	exon	1
FSCN2	GRCh37	17:79495422-79504156	mrg	smallvar	exon	0.9911232502560601
G6PC3	GRCh37	17:42148103-42153709	mrg	smallvar	exon	1
GIP	GRCh37	17:47035916-47045958	mrg	smallvar	exon	1
GP1BA	GRCh37	17:4835592-4838325	mrg	smallvar	exon	0.8647458983593438
HES7	GRCh37	17:8023908-8027410	mrg	smallvar	exon	1
HOXB8	GRCh37	17:46688739-46692478	mrg	smallvar	exon	0.9692476661175179
KRTAP1-1	GRCh37	17:39196811-39197713	mrg	smallvar	exon	0.5942350332594235
P2RX5	GRCh37	17:3575493-3599698	mrg	smallvar	exon	0.9944765912677538
RNF213	GRCh37	17:78234665-78372586	mrg	smallvar	exon	0.9882363043104929
SERPINF2	GRCh37	17:1646130-1658562	mrg	smallvar	exon	1
SRR	GRCh37	17:2206677-2228554	mrg	smallvar	exon	1
SUZ12	GRCh37	17:30264037-30328064	mrg	smallvar	exon	1
