gene	ref	coords	in_mrg	benchmark	region	cov	vars	svs
OR4F5	GRCh37	1:69091-70008	FALSE	v4	gene	0	0	NA
OR4F5	GRCh37	1:69091-70008	FALSE	v4	exon	0	0	NA
OR4F5	GRCh37	1:69091-70008	FALSE	mrg	gene	0	0	0
OR4F5	GRCh37	1:69091-70008	FALSE	mrg	exon	0	0	0
OR4F5	GRCh37	1:69091-70008	FALSE	hifi	gene	0	NA	NA
AGRN	GRCh37	1:955503-991496	TRUE	v4	gene	0.839024255	59	NA
AGRN	GRCh37	1:955503-991496	TRUE	v4	exon	0.948812955	8	NA
AGRN	GRCh37	1:955503-991496	TRUE	mrg	gene	0.99755508	100	0
AGRN	GRCh37	1:955503-991496	TRUE	mrg	exon	0.998216001	9	0
AGRN	GRCh37	1:955503-991496	TRUE	hifi	gene	1	NA	NA
B3GALT6	GRCh37	1:1167629-1170421	FALSE	v4	gene	1	0	NA
B3GALT6	GRCh37	1:1167629-1170421	FALSE	v4	exon	1	0	NA
B3GALT6	GRCh37	1:1167629-1170421	FALSE	mrg	gene	0	0	0
B3GALT6	GRCh37	1:1167629-1170421	FALSE	mrg	exon	0	0	0
B3GALT6	GRCh37	1:1167629-1170421	FALSE	hifi	gene	1	NA	NA
TAS1R3	GRCh37	1:1266694-1270686	FALSE	v4	gene	1	4	NA
TAS1R3	GRCh37	1:1266694-1270686	FALSE	v4	exon	1	3	NA
TAS1R3	GRCh37	1:1266694-1270686	FALSE	mrg	gene	0	0	0
TAS1R3	GRCh37	1:1266694-1270686	FALSE	mrg	exon	0	0	0
TAS1R3	GRCh37	1:1266694-1270686	FALSE	hifi	gene	1	NA	NA
GABRD	GRCh37	1:1950780-1962192	FALSE	v4	gene	0.992989835	17	NA
GABRD	GRCh37	1:1950780-1962192	FALSE	v4	exon	0.957983193	2	NA
GABRD	GRCh37	1:1950780-1962192	FALSE	mrg	gene	0	0	0
GABRD	GRCh37	1:1950780-1962192	FALSE	mrg	exon	0	0	0
GABRD	GRCh37	1:1950780-1962192	FALSE	hifi	gene	1	NA	NA
SKI	GRCh37	1:2160134-2241558	FALSE	v4	gene	0.904708685	121	NA
SKI	GRCh37	1:2160134-2241558	FALSE	v4	exon	0.935426329	2	NA
SKI	GRCh37	1:2160134-2241558	FALSE	mrg	gene	0	0	0
SKI	GRCh37	1:2160134-2241558	FALSE	mrg	exon	0	0	0
SKI	GRCh37	1:2160134-2241558	FALSE	hifi	gene	0.993090328	NA	NA
PEX10	GRCh37	1:2336236-2345236	FALSE	v4	gene	0.983111111	14	NA
PEX10	GRCh37	1:2336236-2345236	FALSE	v4	exon	1	2	NA
PEX10	GRCh37	1:2336236-2345236	FALSE	mrg	gene	0	0	0
PEX10	GRCh37	1:2336236-2345236	FALSE	mrg	exon	0	0	0
PEX10	GRCh37	1:2336236-2345236	FALSE	hifi	gene	1	NA	NA
TNFRSF14	GRCh37	1:2487078-2496821	FALSE	v4	gene	1	13	NA
TNFRSF14	GRCh37	1:2487078-2496821	FALSE	v4	exon	1	2	NA
TNFRSF14	GRCh37	1:2487078-2496821	FALSE	mrg	gene	0	0	0
TNFRSF14	GRCh37	1:2487078-2496821	FALSE	mrg	exon	0	0	0
TNFRSF14	GRCh37	1:2487078-2496821	FALSE	hifi	gene	1	NA	NA
MMEL1	GRCh37	1:2522078-2564481	FALSE	v4	gene	0.941018324	98	NA
MMEL1	GRCh37	1:2522078-2564481	FALSE	v4	exon	0.957522124	6	NA
MMEL1	GRCh37	1:2522078-2564481	FALSE	mrg	gene	0	0	0
MMEL1	GRCh37	1:2522078-2564481	FALSE	mrg	exon	0	0	0
MMEL1	GRCh37	1:2522078-2564481	FALSE	hifi	gene	0.697322921	NA	NA
PRDM16	GRCh37	1:2985732-3355185	FALSE	v4	gene	0.943237705	556	NA
PRDM16	GRCh37	1:2985732-3355185	FALSE	v4	exon	1	13	NA
PRDM16	GRCh37	1:2985732-3355185	FALSE	mrg	gene	0	0	0
PRDM16	GRCh37	1:2985732-3355185	FALSE	mrg	exon	0	0	0
PRDM16	GRCh37	1:2985732-3355185	FALSE	hifi	gene	1	NA	NA
TP73	GRCh37	1:3569084-3652765	FALSE	v4	gene	0.908282645	154	NA
TP73	GRCh37	1:3569084-3652765	FALSE	v4	exon	0.981585124	6	NA
TP73	GRCh37	1:3569084-3652765	FALSE	mrg	gene	0	0	0
TP73	GRCh37	1:3569084-3652765	FALSE	mrg	exon	0	0	0
TP73	GRCh37	1:3569084-3652765	FALSE	hifi	gene	1	NA	NA
NPHP4	GRCh37	1:5922871-6052533	FALSE	v4	gene	0.96921226	145	NA
NPHP4	GRCh37	1:5922871-6052533	FALSE	v4	exon	1	2	NA
NPHP4	GRCh37	1:5922871-6052533	FALSE	mrg	gene	0	0	0
NPHP4	GRCh37	1:5922871-6052533	FALSE	mrg	exon	0	0	0
NPHP4	GRCh37	1:5922871-6052533	FALSE	hifi	gene	1	NA	NA
KCNAB2	GRCh37	1:6051526-6161253	FALSE	v4	gene	0.924385065	155	NA
KCNAB2	GRCh37	1:6051526-6161253	FALSE	v4	exon	0.959217877	12	NA
KCNAB2	GRCh37	1:6051526-6161253	FALSE	mrg	gene	0	0	0
KCNAB2	GRCh37	1:6051526-6161253	FALSE	mrg	exon	0	0	0
KCNAB2	GRCh37	1:6051526-6161253	FALSE	hifi	gene	1	NA	NA
