gene	ref	chrom	start	end	data_set	avg_cov	bp_cov_by_100X	bp_cov_by_20X
OR4F5	GRCh37	1	69091	70008	CCS	14.96	0	0.450081873
AGRN	GRCh37	1	955503	991496	CCS	33.52	0	1
B3GALT6	GRCh37	1	1167629	1170421	CCS	38.99	0	0.945386988
TAS1R3	GRCh37	1	1266694	1270686	CCS	43.98	0	1
GABRD	GRCh37	1	1950780	1962192	CCS	38.77	0	1
SKI	GRCh37	1	2160134	2241558	CCS	36.95	0	0.909976611
PEX10	GRCh37	1	2336236	2345236	CCS	33.86	0	1
TNFRSF14	GRCh37	1	2487078	2496821	CCS	46.62	0	1
MMEL1	GRCh37	1	2522078	2564481	CCS	43.53	0	1
PRDM16	GRCh37	1	2985732	3355185	CCS	44.61	0	1
TP73	GRCh37	1	3569084	3652765	CCS	45.34	0	1
NPHP4	GRCh37	1	5922871	6052533	CCS	44.36	0	0.968784996
KCNAB2	GRCh37	1	6051526	6161253	CCS	41.96	0	0.964628958
RPL22	GRCh37	1	6241329	6269449	CCS	44.94	0	1
ESPN	GRCh37	1	6484848	6521430	CCS	46.68	0	1
PLEKHG5	GRCh37	1	6526152	6580121	CCS	49.41	0	1
TAS1R1	GRCh37	1	6615241	6639817	CCS	47.75	0	1
CAMTA1	GRCh37	1	6845384	7829766	CCS	51.72	0	0.995168794
TNFRSF9	GRCh37	1	7979907	8000926	CCS	50.62	0	1
PARK7	GRCh37	1	8014351	8045565	CCS	48.49	0	1
ERRFI1	GRCh37	1	8064464	8086368	CCS	51.15	0	1
H6PD	GRCh37	1	9294834	9331396	CCS	43.05	0	1
PIK3CD	GRCh37	1	9711790	9789172	CCS	48.04	0	1
NMNAT1	GRCh37	1	10003486	10045559	CCS	47.52	0	1
KIF1B	GRCh37	1	10270863	10441661	CCS	57.09	0	1
PEX14	GRCh37	1	10532345	10690815	CCS	51.67	0	1
TARDBP	GRCh37	1	11072414	11085796	CCS	46.95	0	1
MASP2	GRCh37	1	11086580	11107290	CCS	45.02	0	1
MTOR	GRCh37	1	11166592	11322564	CCS	61.07	0	1
UBIAD1	GRCh37	1	11333263	11356106	CCS	55.56	0	1
MTHFR	GRCh37	1	11845780	11866977	CCS	54.53	0	1
NPPA	GRCh37	1	11905766	11908402	CCS	50.37	0	1
PLOD1	GRCh37	1	11994262	12035595	CCS	45.07	0	1
MFN2	GRCh37	1	12040238	12073571	CCS	44.94	0	1
