chrom	start	end	gene	bp_overlap_v4.2.1	percent_overlap_v4.2.1	bp_flanking_plus_segdups_overlap_hifiasm	percent_flanking_plus_segdups_overlap_hifiasm	flanking_breaks_in_dip_bed
1	69091	70008	OR4F5	0	0	0	0	0
1	955503	991496	AGRN	30199	0.839024255	79302	1	0
1	1167629	1170421	B3GALT6	2792	1	42792	1	0
1	1266694	1270686	TAS1R3	3992	1	43992	1	0
1	1950780	1962192	GABRD	11332	0.992989835	51412	1	0
1	2160134	2241558	SKI	73665	0.904708685	120585	0.993090328	1
1	2336236	2345236	PEX10	8848	0.983111111	49000	1	0
1	2487078	2496821	TNFRSF14	9743	1	49743	1	0
1	2522078	2564481	MMEL1	39902	0.941018324	78847	0.697322921	0
1	2985732	3355185	PRDM16	348482	0.943237705	409453	1	0
1	3569084	3652765	TP73	76006	0.908282645	123681	1	0
1	5922871	6052533	NPHP4	125670	0.96921226	169662	1	0
1	6051526	6161253	KCNAB2	101430	0.924385065	149727	1	0
1	6241329	6269449	RPL22	25646	0.912019915	68120	1	0
1	6484848	6521430	ESPN	15678	0.428571429	76582	1	0
1	6526152	6580121	PLEKHG5	52406	0.97103893	112401	1	0
1	6615241	6639817	TAS1R1	23477	0.955281576	64576	1	0
1	6845384	7829766	CAMTA1	941137	0.956068884	1024022	0.999648569	1
1	7979907	8000926	TNFRSF9	20566	0.978448071	61019	1	0
1	8014351	8045565	PARK7	29621	0.948965208	71214	1	0
1	8064464	8086368	ERRFI1	21518	0.982377648	61904	1	0
1	9294834	9331396	H6PD	35424	0.968874788	76562	1	0
1	9711790	9789172	PIK3CD	74221	0.959150707	117382	1	0
1	10003486	10045559	NMNAT1	39099	0.929313336	82073	1	0
1	10270863	10441661	KIF1B	165970	0.97173269	210798	1	0
1	10532345	10690815	PEX14	153206	0.966782356	198470	1	0
1	11072414	11085796	TARDBP	13119	0.980346734	53382	1	0
1	11086580	11107290	MASP2	15258	0.736745534	60710	1	0
1	11166592	11322564	MTOR	151622	0.972110379	195972	1	0
1	11333263	11356106	UBIAD1	22195	0.971632448	62843	1	0
1	11845780	11866977	MTHFR	20658	0.974571873	61197	1	0
1	11905766	11908402	NPPA	1967	0.746206373	42636	1	0
1	11994262	12035595	PLOD1	38851	0.939951129	81333	1	0
1	12040238	12073571	MFN2	31903	0.957099571	73333	1	0
1	12227060	12269285	TNFRSF1B	41019	0.971438721	82225	1	0
1	14026693	14151574	PRDM2	122878	0.983960731	164881	1	0
1	15764935	15775737	CTRC	10136	0.938344751	39289	0.727641448	0
1	15817327	15853029	CASP9	33317	0.93319702	76165	0.823503336	1
1	15986364	15988217	RSC1A1	1853	1	41853	1	0
1	16174359	16266955	SPEN	89998	0.971942633	132596	1	0
1	16340523	16346089	HSPB7	5566	1	46554	1	0
1	16345370	16360545	CLCNKA	14977	0.986952224	64215	1	0
1	16370272	16383803	CLCNKB	12579	0.929643042	56871	1	0
1	16450832	16482582	EPHA2	30820	0.970708661	71750	1	0
1	16713612	16763919	SPATA21	47710	0.948376965	90307	1	0
1	17312453	17338423	ATP13A2	25203	0.970465922	65970	1	0
1	17345217	17380665	SDHB	34711	0.979208982	75448	1	0
1	17634690	17690499	PADI4	50057	0.896934186	95767	0.999561628	1
