chrom	start	end	gene	bp_overlap_v4.2.1	percent_overlap_v4.2.1	bp_flanking_plus_segdups_overlap_hifiasm	percent_flanking_plus_segdups_overlap_hifiasm	flanking_breaks_in_dip_bed
chr10	87357668	87370695	NUTM2D	0	0	389791	1	0
chr11	215030	236931	SIRT3	18578	0.848271768	196931	1	0
chr12	7080214	7092540	C1R	0	0	52326	1	0
chr12	11061365	11062294	TAS2R46	0	0	40929	1	0
chr16	8537605	8590193	TMEM114	45143	0.858427778	92588	1	0
chr19	7112255	7294414	INSR	154692	0.849214148	222159	1	0
chr2	233059967	233207903	INPP5D	109579	0.74071896	187936	1	0
chr4	3503612	3532446	LRPAP1	25127	0.871436499	80783	1	0
chr7	192571	260772	FAM20C	2439	0.035761939	108201	1	0
chr8	143574785	143578649	NAPRT	3472	0.898550725	43864	1	0
