chrom	start	end	gene	bp_overlap_v4.2.1	percent_overlap_v4.2.1	bp_flanking_plus_segdups_overlap_hifiasm	percent_flanking_plus_segdups_overlap_hifiasm	flanking_breaks_in_dip_bed
7	766338	829190	HEATR2	52456	0.834595558	102852	1	0
8	1449532	1656642	DLGAP2	178599	0.862338854	247110	1	0
12	64173583	64203338	TMEM5	6674	0.224298437	69755	1	0
15	55702723	55800432	DYX1C1	87306	0.89353079	137709	1	0
16	420773	437113	TMEM8A	14512	0.888127295	56340	1	0
16	24857162	24922949	SLC5A11	48652	0.739538207	105787	1	0
16	69165194	69265033	CIRH1A	79454	0.795821272	139839	1	0
19	55249980	55295776	KIR2DL3	0	0	85796	1	0
19	55281263	55295774	KIR2DL1	0	0	79688	1	0
20	32782375	32857150	ASIP	64499	0.86257439	114775	1	0
