chrom	start	end	gene	bp_overlap_v4.2.1	percent_overlap_v4.2.1	bp_flanking_plus_segdups_overlap_hifiasm	percent_flanking_plus_segdups_overlap_hifiasm	flanking_breaks_in_dip_bed
chr1	65419	71585	OR4F5	0	0	0	0	0
chr1	1020120	1056118	AGRN	30470	0.846435913	78912	1	0
chr1	1232237	1235041	B3GALT6	2804	1	42804	1	0
chr1	1331280	1335314	TAS1R3	4034	1	44034	1	0
chr1	2019329	2030758	GABRD	11337	0.991950302	51429	1	0
chr1	2228319	2310213	SKI	74247	0.906623196	121055	0.99311697	1
chr1	2403964	2413797	PEX10	9681	0.984541849	49833	1	0
chr1	2555639	2565382	TNFRSF14	9743	1	49743	1	0
chr1	2590639	2633016	MMEL1	39816	0.939566274	78320	0.592695736	0
chr1	3069168	3438621	PRDM16	348766	0.944006409	409453	1	0
chr1	3652516	3736201	TP73	76863	0.918480014	123685	1	0
chr1	5862811	5992473	NPHP4	125670	0.96921226	169662	1	0
chr1	5990927	6101193	KCNAB2	102464	0.929243829	150266	1	0
chr1	6185020	6209389	RPL22	21580	0.885551315	64369	1	0
chr1	6424776	6461367	ESPN	15642	0.427482168	76591	1	0
chr1	6466092	6520061	PLEKHG5	52561	0.973910949	112401	1	0
chr1	6555307	6579755	TAS1R1	23452	0.959260471	64448	1	0
chr1	6785454	7769706	CAMTA1	940190	0.955233009	1023892	0.999648524	1
chr1	7915871	7943165	TNFRSF9	26850	0.983732689	67294	1	0
chr1	7954291	7985505	PARK7	29623	0.949029282	71214	1	0
chr1	8004404	8026309	ERRFI1	21519	0.982378452	61905	1	0
chr1	9234774	9271337	H6PD	34589	0.946010995	76563	1	0
chr1	9651731	9729114	PIK3CD	74256	0.959590608	117383	1	0
chr1	9943428	9985501	NMNAT1	39072	0.928671595	82073	1	0
chr1	10210805	10381603	KIF1B	165978	0.971779529	210798	1	0
chr1	10472288	10630758	PEX14	153356	0.967728908	198470	1	0
chr1	11012344	11025739	TARDBP	12583	0.939380366	53395	1	0
chr1	11026523	11047239	MASP2	15324	0.739718092	60716	1	0
chr1	11106535	11262551	MTOR	150885	0.967112347	196016	1	0
chr1	11273206	11296049	UBIAD1	22195	0.971632448	62843	1	0
chr1	11785723	11806455	MTHFR	20194	0.974049778	60732	1	0
chr1	11845709	11848345	NPPA	1874	0.710925645	42636	1	0
chr1	11934205	11975538	PLOD1	39553	0.956935137	81333	1	0
chr1	11980181	12013514	MFN2	31903	0.957099571	73333	1	0
chr1	12166991	12209228	TNFRSF1B	40506	0.959016976	82237	1	0
chr1	13700198	13825079	PRDM2	122842	0.983672456	164881	1	0
chr1	15438442	15449242	CTRC	10134	0.938333333	39287	0.72763136	0
chr1	15490832	15526534	CASP9	33318	0.933225029	76165	0.823503336	1
chr1	15659869	15661722	RSC1A1	1853	1	41853	1	0
chr1	15836095	15940456	SPEN	101269	0.970372074	144361	1	0
chr1	16014028	16019594	HSPB7	5566	1	46554	1	0
chr1	16018875	16034050	CLCNKA	14987	0.987611203	64215	1	0
chr1	16043736	16057308	CLCNKB	12615	0.929487179	56871	1	0
chr1	16124337	16156069	EPHA2	30802	0.970692046	71732	1	0
chr1	16387117	16437424	SPATA21	47858	0.951318902	90307	1	0
chr1	16985958	17011928	ATP13A2	25142	0.968117058	65970	1	0
chr1	17018722	17054032	SDHB	34691	0.982469555	75310	1	0
chr1	17308195	17364004	PADI4	50087	0.897471734	95767	0.999561628	1
chr1	17539698	17697874	ARHGEF10L	155414	0.982538438	198176	1	0
chr1	18630846	18748866	PAX7	114557	0.970657516	158020	1	0
chr1	18871430	18902724	ALDH4A1	30994	0.990413498	71294	1	0
chr1	19303965	19312146	AKR7A2	8181	1	53538	1	0
chr1	19975431	19980416	PLA2G2A	4985	1	44985	1	0
chr1	20028179	20091911	PLA2G5	63074	0.989675516	103732	1	0
chr1	20589086	20618903	CDA	28238	0.947043633	69817	1	0
chr1	20633458	20651511	PINK1	17402	0.963939511	58053	1	0
chr1	20651767	20661544	DDOST	9651	0.987112611	49777	1	0
chr1	21217247	21345572	ECE1	124836	0.972811222	168325	1	0
chr1	21509397	21578410	ALPL	66946	0.970049121	109013	1	0
chr1	21822244	21937310	HSPG2	112490	0.977612848	155066	1	0
chr1	22025511	22101360	CDC42	71733	0.945734288	154006	1	0
chr1	22117313	22143969	WNT4	26393	0.990133553	66656	1	0
chr1	22428838	22531157	ZBTB40	100772	0.984880618	142319	1	0
chr1	22636628	22639678	C1QA	3050	1	43050	1	0
chr1	22643633	22648110	C1QC	4373	0.976770159	44477	1	0
chr1	22652762	22661637	C1QB	8143	0.917521127	48875	1	0
chr1	22710839	22921500	EPHB2	208006	0.987396813	250661	1	0
chr1	23557926	23559501	ID3	1575	1	41575	1	0
chr1	23581495	23640568	MDS2	54592	0.924144702	99073	1	0
chr1	23691742	23696835	RPL11	4990	0.979776163	45093	1	0
chr1	23795599	23800781	GALE	4977	0.960439985	45182	1	0
chr1	23801885	23838620	HMGCL	25277	0.688090377	76735	1	0
chr1	23845077	23868294	FUCA1	22029	0.948830598	63217	1	0
chr1	23870515	23913362	CNR2	38872	0.907228044	82847	1	0
chr1	24899511	24965121	RUNX3	64802	0.987684804	105610	1	0
chr1	25272393	25330445	RHD	53289	0.91795287	98052	1	0
chr1	25362249	25430192	RHCE	50080	0.737088442	107943	1	0
chr1	25543606	25568886	LDLRAP1	25115	0.993473101	65280	1	0
chr1	25884181	25906991	STMN1	22350	0.979833406	62810	1	0
chr1	26019884	26036464	EXTL1	16323	0.984499397	56580	1	0
chr1	26037252	26046118	SLC30A2	8737	0.985450034	48866	1	0
chr1	26432282	26471306	DHDDS	37882	0.970735957	79024	1	0
chr1	26693236	26782104	ARID1A	84922	0.955597065	128868	1	0
chr1	26787054	26800659	PIGV	12284	0.902903344	53605	1	0
chr1	26900238	26946871	NUDC	45431	0.974224262	86633	1	0
chr1	26911489	26913975	NR0B2	2486	1	42486	1	0
chr1	27369112	27374824	FCN3	5582	0.977240896	45712	1	0
chr1	28147166	28193936	PTAFR	45039	0.962989096	86770	1	0
chr1	28259518	28282491	SESN2	21875	0.952204762	62973	1	0
chr1	28887091	29120046	EPB41	223392	0.958949153	272955	1	0
chr1	32200386	32205387	CCDC28B	4890	0.977804439	45001	1	0
chr1	32251239	32286165	LCK	31621	0.905371357	74926	1	0
chr1	33007940	33080996	AK2	69337	0.949093846	113056	1	0
chr1	33081104	33123492	AZIN2	41893	0.988322167	82388	1	0
chr1	34759740	34762327	GJB4	2587	1	42587	1	0
chr1	34781214	34786369	GJB3	5155	1	45155	1	0
chr1	34865436	34929650	DLGAP3	63405	0.987401501	104214	1	0
chr1	35176378	35193145	SFPQ	16767	1	56767	1	0
chr1	35869808	35930532	AGO1	60166	0.990810882	100724	1	0
chr1	36084094	36088275	TEKT2	4078	0.975364745	44181	1	0
chr1	36095239	36125222	COL8A2	28569	0.952839943	69983	1	0
chr1	36224432	36305357	THRAP3	74174	0.916577078	120925	1	0
chr1	36466043	36483278	CSF3R	17200	0.997969249	57235	1	0
chr1	37534449	37554293	SNIP1	18813	0.948044749	59844	1	0
chr1	37611350	37634892	RSPO1	23035	0.978464022	63542	1	0
chr1	37860697	37947057	INPP5B	77873	0.901725336	126360	1	0
chr1	39026318	39034636	NDUFS5	7910	0.950949748	48318	1	0
chr1	39895426	39902256	MYCL	6830	1	46830	1	0
chr1	40071461	40097727	PPT1	25635	0.975976548	66266	1	0
chr1	40258236	40294180	ZMPSTE24	33727	0.938320721	75944	1	0
chr1	40300489	40317813	COL9A2	17163	0.990706534	57324	1	0
chr1	40477290	40496343	ZFP69	17913	0.940166903	59053	1	0
chr1	40620680	40665682	RIMS3	44362	0.98577841	85002	1	0
chr1	40783787	40840452	KCNQ4	55896	0.986429013	96665	1	0
chr1	42733093	42740254	CLDN19	7157	0.999441419	47161	1	0
chr1	42817122	42844991	ERMAP	27185	0.975456601	67869	1	0
chr1	42925375	42958868	SLC2A1	32725	0.977069835	73493	1	0
